Title,Author,First Publish Year,URL
Stargirl,Jerry Spinelli,2000,https://openlibrary.org/works/OL77100W
Estudios sobre el amor,José Ortega y Gasset,1939,https://openlibrary.org/works/OL504343W
Theodosius,Nathaniel Lee,1680,https://openlibrary.org/works/OL149807W
The Five Love Languages,Gary D. Chapman,1992,https://openlibrary.org/works/OL1680319W
Owl Babies,Martin Waddell,1975,https://openlibrary.org/works/OL114136W
"Revelations of divine love, recorded by Julian, anchoress at Norwich, A.D. 1373","Julian of Norwich, Warrack, Grace Harriet, 1855-1932, Julian, Frances Beer, Edmund Colledge, James Walsh, Jean Leclercq, John Skinner",1901,https://openlibrary.org/works/OL742115W
H.R.H.,"Danielle Steel, Victoria Alonso Blanco",2006,https://openlibrary.org/works/OL19692W
Forever,Judy Blume,1957,https://openlibrary.org/works/OL1838409W
The Summer of the Swans,Betsy Cromer Byars,1970,https://openlibrary.org/works/OL279226W
Hester,Margaret Oliphant,1883,https://openlibrary.org/works/OL890472W
"A defence of poetry, by P.B. Shelley",Percy Bysshe Shelley,1890,https://openlibrary.org/works/OL14853182W
Surprised by Joy,C. S. Lewis,1955,https://openlibrary.org/works/OL71159W
En man som heter Ove,Fredrik Backman,2012,https://openlibrary.org/works/OL16793865W
Tirukkur̲aḷ,"Tiruvaḷḷuvar., Satguru Subramuniyaswami, Satguru Sivaya Subramuniyaswami",1927,https://openlibrary.org/works/OL331347W
Love You Forever,Robert N. Munsch,1986,https://openlibrary.org/works/OL88707W
Cendrillon,Charles Perrault,1886,https://openlibrary.org/works/OL23868W
Hite Report Women & Love,Shere Hite,1976,https://openlibrary.org/works/OL2815101W
Born in Fire,Nora Roberts,1994,https://openlibrary.org/works/OL111532W
The Black Stallion,Walter Farley,1941,https://openlibrary.org/works/OL869965W
The Time Traveler's Wife,Audrey Niffenegger,2003,https://openlibrary.org/works/OL4720160W
Le coup de grâce,Marguerite Yourcenar,1939,https://openlibrary.org/works/OL106854W
Denier du Reve,Marguerite Yourcenar,1934,https://openlibrary.org/works/OL106856W
Immortal wife,Irving Stone,1940,https://openlibrary.org/works/OL111997W
Love,Toni Morrison,1999,https://openlibrary.org/works/OL15843891W
Red Queen,Victoria Aveyard,2015,https://openlibrary.org/works/OL17356883W
Teleny,"Anonymous, Oscar Wilde",1893,https://openlibrary.org/works/OL7955184W
Les Amities Particulaires,Roger Peyrefitte,1945,https://openlibrary.org/works/OL2434523W
A Court of Thorns and Roses,Sarah J. Maas,2013,https://openlibrary.org/works/OL17352669W
Jazz,Toni Morrison,1992,https://openlibrary.org/works/OL50563W
Jazz,Toni Morrison,1992,https://openlibrary.org/works/OL50563W
Haben oder sein,Erich Fromm,1976,https://openlibrary.org/works/OL1185004W
The Selection (The Selection #1),Kiera Cass,2012,https://openlibrary.org/works/OL16361029W
山の音,川端康成,1954,https://openlibrary.org/works/OL2045109W
The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,https://openlibrary.org/works/OL7990014W
Eleanor & Park,Rainbow Rowell,2012,https://openlibrary.org/works/OL16803752W
The Pride of the Peacock,Eleanor Burford,1976,https://openlibrary.org/works/OL3931454W
The Elite (The Selection #2),Kiera Cass,2012,https://openlibrary.org/works/OL16915199W
Tutta colpa di un caffè con panna,Elisabetta Dami,2000,https://openlibrary.org/works/OL8115813W
Gjentagelsen,Søren Kierkegaard,1843,https://openlibrary.org/works/OL112735W
Klara and the Sun,Kazuo Ishiguro,2019,https://openlibrary.org/works/OL20883297W
Wuthering Heights / Agnes Grey,"Emily Brontë, Anne Brontë",1870,https://openlibrary.org/works/OL17392581W
A short and very easy method of prayer,"Jeanne Marie Bouvier de La Motte Guyon, James W. Metcalf, CrossReach Publications",1775,https://openlibrary.org/works/OL2298237W
Anne Hooper's pocket Kama Sutra,"Anne Hooper, Ulrike Kerstiens",1994,https://openlibrary.org/works/OL1698246W
The Four Loves,C. S. Lewis,1960,https://openlibrary.org/works/OL71161W
"Matched (Matched Trilogy, Book 1)",Ally Condie,2010,https://openlibrary.org/works/OL15493120W
Critique of psychoanalysis,Carl Gustav Jung,1956,https://openlibrary.org/works/OL95078W
Love Comes Softly,Janette Oke,1979,https://openlibrary.org/works/OL97176W
Jean and Johnny,Beverly Cleary,1959,https://openlibrary.org/works/OL151932W
The Miraculous Journey of Edward Tulane,Kate DiCamillo,2000,https://openlibrary.org/works/OL468661W
Castle in the Air,Diana Wynne Jones,1990,https://openlibrary.org/works/OL60141W
Son of a Witch,Gregory Maguire,2005,https://openlibrary.org/works/OL66214W
First love,"James Patterson, Emily Raymond",2013,https://openlibrary.org/works/OL17308058W
To All the Boys I've Loved Before,Jenny Han,2014,https://openlibrary.org/works/OL17203233W
The gift of the Magi,O. Henry,1906,https://openlibrary.org/works/OL181953W
Women Who Love Too Much,Robin Norwood,1985,https://openlibrary.org/works/OL2647505W
The Ministry of Utmost Happiness,Arundhati Roy,2017,https://openlibrary.org/works/OL17778666W
Hop on Pop,Dr. Seuss,1963,https://openlibrary.org/works/OL261164W
Ruin and Rising,Leigh Bardugo,2014,https://openlibrary.org/works/OL17293267W
The One (The Selection #3),Kiera Cass,2012,https://openlibrary.org/works/OL16925622W
Traité de l'amour de Dieu,"Francis de Sales, Etienne-Marie Lajeunie",1630,https://openlibrary.org/works/OL1140013W
Shadow souls,Lisa Jane Smith,2010,https://openlibrary.org/works/OL14982396W
London Fields,Martin Amis,1989,https://openlibrary.org/works/OL16854W
"Everything, Everything","Nicola Yoon, Eric Chevreau (Traduction)",2015,https://openlibrary.org/works/OL17843967W
The Luckiest Girl,Beverly Cleary,1958,https://openlibrary.org/works/OL151935W
"The young enchanted, a romantic story",Hugh Walpole,1921,https://openlibrary.org/works/OL1149224W
Marina,Carlos Ruiz Zafón,2003,https://openlibrary.org/works/OL6036830W
Empire of Storms,Sarah J. Maas,2016,https://openlibrary.org/works/OL17625829W
The Abbess of Castro and other tales,Stendhal,1839,https://openlibrary.org/works/OL733274W
The drama of love and death,Edward Carpenter,1912,https://openlibrary.org/works/OL1041135W
Shatter Me,Tahereh Mafi,2011,https://openlibrary.org/works/OL16014245W
Voyage in the Dark,Jean Rhys,1934,https://openlibrary.org/works/OL1858636W
Famous Affinities of History,Lyndon Orr,1912,https://openlibrary.org/works/OL200547W
コーヒーが冷めないうちに,川口俊和,2015,https://openlibrary.org/works/OL20019347W
Crown of Midnight,Sarah J. Maas,2013,https://openlibrary.org/works/OL16809980W
Bodas de sangre,"Federico García Lorca, David Johnston",1956,https://openlibrary.org/works/OL722547W
The allegory of love,C. S. Lewis,1936,https://openlibrary.org/works/OL71160W
A Stranger is Watching,Mary Higgins Clark,1977,https://openlibrary.org/works/OL13074W
Novels (Agnes Grey / Jane Eyre / Wuthering Heights),"Anne Brontë, Charlotte Brontë, Emily Brontë, Bronte, C, E, And A,",1947,https://openlibrary.org/works/OL1095411W
You and Me,"Martin Waddell, Barbara Firth",1996,https://openlibrary.org/works/OL114204W
Nightfall,Lisa Jane Smith,2005,https://openlibrary.org/works/OL4444217W
D.N. Angel,Yukiru Sugisaki,2003,https://openlibrary.org/works/OL5759115W
Frog in Love,Max Velthuijs,1989,https://openlibrary.org/works/OL1735803W
