Title,Author,First Publish Year,URL
Novels (Jane Eyre / Tenant of Wildfell Hall / Wuthering Heights),"Anne Brontë, Charlotte Brontë, Emily Brontë",1982,https://openlibrary.org/works/OL1095378W
A Shine of Rainbows,Lillian Beckwith,1984,https://openlibrary.org/works/OL10591088W
Let's Go Home,"Martin Waddell, Barbara Firth",1991,https://openlibrary.org/works/OL114195W
That Summer Place,"Debbie Macomber, Susan Childress, Jill Barnett",1998,https://openlibrary.org/works/OL14905635W
Life,Mal Peet,2011,https://openlibrary.org/works/OL16341255W
A possible life,Sebastian Faulks,2012,https://openlibrary.org/works/OL16645977W
Two Boys Kissing,David Levithan,2013,https://openlibrary.org/works/OL16807251W
Afterworlds,Scott Westerfeld,1887,https://openlibrary.org/works/OL17062741W
The Raven King,Maggie Stiefvater,2016,https://openlibrary.org/works/OL17357734W
My First Love and Other Disasters,Francine Pascal,1979,https://openlibrary.org/works/OL3933219W
The nature of love,Irving Singer,1966,https://openlibrary.org/works/OL1872193W
Killing me softly,Nicci French,1999,https://openlibrary.org/works/OL486656W
The secret life of squirrels,Nancy Rose,2014,https://openlibrary.org/works/OL19752490W
The Selection Stories,Kiera Cass,2014,https://openlibrary.org/works/OL17822206W
Tales from a NOT-SO-Secret Crush Catastrophe,Rachel Renée Russell,2017,https://openlibrary.org/works/OL17812662W
The Octoroon,Dion Boucicault,2014,https://openlibrary.org/works/OL20571132W
"Heartstopper, Volume 2",Alice Oseman,2019,https://openlibrary.org/works/OL20354499W
"Living, loving & learning",Leo F. Buscaglia,1982,https://openlibrary.org/works/OL3487856W
Amour et l'occident,"Rougemont, Denis de",1940,https://openlibrary.org/works/OL1452653W
The Ragamuffin Gospel,Brennan Manning,1990,https://openlibrary.org/works/OL2422261W
Love and will,Rollo May,1969,https://openlibrary.org/works/OL3955363W
The Warning,Katherine Applegate,1998,https://openlibrary.org/works/OL27827W
Destiny Rising,Lisa Jane Smith,2012,https://openlibrary.org/works/OL17436149W
Being in Love,Judith Pickering,2008,https://openlibrary.org/works/OL9351853W
I Love You So Much,Carl Norac,1997,https://openlibrary.org/works/OL29934W
Discover the Destroyer,Katherine Applegate,2000,https://openlibrary.org/works/OL27794W
Love and sex after sixty,Robert N. Butler,1976,https://openlibrary.org/works/OL2703763W
Nick & Norah's Infinite Playlist,"Rachel Cohn, David Levithan",2006,https://openlibrary.org/works/OL5720633W
Toll the hounds,Steven Erikson,2008,https://openlibrary.org/works/OL5734768W
Leaping Beauty,Gregory Maguire,2004,https://openlibrary.org/works/OL66207W
Make Her Chase You,Darcy Carter,2018,https://openlibrary.org/works/OL26127876W
The divine imperative,Emil Brunner,1937,https://openlibrary.org/works/OL1345192W
Loving each other,Leo F. Buscaglia,1984,https://openlibrary.org/works/OL3487855W
How Beautiful the Ordinary,"Michael Cart, Francesca Lia Block, Jennifer Finney Boylan, Emma Donoghue, Ron Koertge",2009,https://openlibrary.org/works/OL15171356W
Bellefleur,Joyce Carol Oates,1980,https://openlibrary.org/works/OL14958460W
Will you still love me?,Carol Roth,2010,https://openlibrary.org/works/OL15061018W
Hints for Lovers,Arnold Haultain,1909,https://openlibrary.org/works/OL172806W
If I Was Your Girl,Meredith Russo,2016,https://openlibrary.org/works/OL17357733W
We Were Liars,E. Lockhart,2014,https://openlibrary.org/works/OL17071448W
Kama Sutra of Vatsyayana,Vatsyāyana,2010,https://openlibrary.org/works/OL39682439W
In the Meantime,Iyanla Vanzant,1998,https://openlibrary.org/works/OL42012W
Yesterday I Cried,Iyanla Vanzant,1999,https://openlibrary.org/works/OL42013W
Drams are not enough,Jacqueline Briskin,1987,https://openlibrary.org/works/OL3286290W
"Naked Heart, The",Jacqueline Briskin,1988,https://openlibrary.org/works/OL3286299W
Black and blue,Anna Quindlen,1998,https://openlibrary.org/works/OL1902530W
Leviathan Falls,James S. A. Corey,2021,https://openlibrary.org/works/OL21704818W
Nick and Charlie,Alice Oseman,2015,https://openlibrary.org/works/OL21679956W
"Always and Forever, Lara Jean",Jenny Han,2017,https://openlibrary.org/works/OL19666031W
Five Feet Apart,Rachael Lippincott,2018,https://openlibrary.org/works/OL18199566W
This Strange New Feeling,Julius Lester,1981,https://openlibrary.org/works/OL1814475W
Bone Harvest (Claire Watkins),Mary Logue,2004,https://openlibrary.org/works/OL17746W
A Dangerous Woman,Mary McGarry Morris,1991,https://openlibrary.org/works/OL551548W
The Ballad of Never After,Stephanie Garber,2022,https://openlibrary.org/works/OL27090610W
Divine Providence,Emanuel Swedenborg,1900,https://openlibrary.org/works/OL33557W
The Nobodies,N. E. Bode,2005,https://openlibrary.org/works/OL5717882W
The Girl from the Sea,Lee Knox Ostertag,2021,https://openlibrary.org/works/OL24356507W
Journey of the heart,John Welwood,1990,https://openlibrary.org/works/OL15859441W
The Red Scrolls of Magic,"Wesley Chu, Cassandra Clare",2019,https://openlibrary.org/works/OL20480768W
Divine conquest,A. W. Tozer,1950,https://openlibrary.org/works/OL544639W
Dialoghi di amore,León Hebreo,1545,https://openlibrary.org/works/OL3649434W
Black looks,bell hooks,1992,https://openlibrary.org/works/OL31112W
All About Love,bell hooks,2000,https://openlibrary.org/works/OL31111W
How to Be Both,"Ali Smith, Ali Smith",2014,https://openlibrary.org/works/OL17063057W
Is it love or is it addiction?,Brenda Schaeffer,1987,https://openlibrary.org/works/OL2695391W
A Love Worth Giving,Max Lucado,2002,https://openlibrary.org/works/OL57152W
Linda Goodman's Love Signs,Linda Goodman,1980,https://openlibrary.org/works/OL4791469W
Seven Spiders Spinning,Gregory Maguire,1994,https://openlibrary.org/works/OL66211W
Six Haunted Hairdos,Gregory Maguire,1997,https://openlibrary.org/works/OL66212W
Love,Leo F. Buscaglia,1972,https://openlibrary.org/works/OL3487854W
2 states,Chetan Bhagat,2009,https://openlibrary.org/works/OL15029319W
Ash,Malinda Lo,2009,https://openlibrary.org/works/OL13804760W
Kristna kärlekstanken,Anders Nygren,1930,https://openlibrary.org/works/OL1148346W
The dressmaker,Kate Alcott,1960,https://openlibrary.org/works/OL16240431W
The creator and the creature,Frederick William Faber,1857,https://openlibrary.org/works/OL1455988W
Coming Apart,Daphne Rose Kingma,1987,https://openlibrary.org/works/OL41778W
"""More more more"" said the baby",Vera B. Williams,1990,https://openlibrary.org/works/OL3243592W
Anastasia at This Address,Lois Lowry,1991,https://openlibrary.org/works/OL1846048W
Huntress,Lisa Jane Smith,1997,https://openlibrary.org/works/OL4444213W
"Love, power, and justice",Paul Tillich,1953,https://openlibrary.org/works/OL450628W
Miki Falls - Autumn #3,Mark Crilley,2007,https://openlibrary.org/works/OL456828W
Seventeenth Summer,Maureen Daly,1942,https://openlibrary.org/works/OL4774193W
The Darkest Part of the Forest,Holly Black,2015,https://openlibrary.org/works/OL19352271W
"Love, medicine and miracles",Bernie S. Siegel,1986,https://openlibrary.org/works/OL1959686W
The Reasons of Love,Harry G. Frankfurt,2004,https://openlibrary.org/works/OL1829523W
Mating intelligence,"Glenn Geher, Geoffrey Miller",2007,https://openlibrary.org/works/OL18205947W
"Heartstopper, Volume 3",Alice Oseman,2020,https://openlibrary.org/works/OL20736929W
10 Blind Dates,"Ashley Elston, M. Dolors Ventós Navés, Victoria Simó Perales",2019,https://openlibrary.org/works/OL20410754W
The Circle,Laura Day,2001,https://openlibrary.org/works/OL78682W
The road less travelled,M. Scott Peck,1978,https://openlibrary.org/works/OL2868913W
The will to change,"bell hooks, Javier Saez, Marta Pera Cucurell",2004,https://openlibrary.org/works/OL31119W
Sisters of the Yam,Bell Hooks,1993,https://openlibrary.org/works/OL31124W
Reel to real,Bell Hooks,1996,https://openlibrary.org/works/OL31108W
Hinführung zu Thomas von Aquin,Josef Pieper,1958,https://openlibrary.org/works/OL112226W
The Conspiracy,Katherine Applegate,1999,https://openlibrary.org/works/OL27784W
The Candy Smash,Jacqueline Davies,2013,https://openlibrary.org/works/OL19354262W
Love Is Walking Hand in Hand,Charles M. Schulz,1965,https://openlibrary.org/works/OL25887W
The Arrival,Katherine Applegate,2000,https://openlibrary.org/works/OL27774W
Sharing Sam,Katherine Applegate,1995,https://openlibrary.org/works/OL27838W
Creative Intimacy,Jerry Greenwald,1977,https://openlibrary.org/works/OL9194583W
Love is a Sweet Chain,James R. Martel,2001,https://openlibrary.org/works/OL8104404W
Twin of fire,Jude Deveraux,1985,https://openlibrary.org/works/OL810224W
Giraffes can't dance,Giles Andreae,1999,https://openlibrary.org/works/OL73217W
Getting the love you want,Harville Hendrix,1988,https://openlibrary.org/works/OL2998757W
Feeding the Hungry Heart,Geneen Roth,1982,https://openlibrary.org/works/OL2723935W
Nowhere Land,Katherine Applegate,2001,https://openlibrary.org/works/OL27807W
Ben's In Love,Katherine Applegate,1994,https://openlibrary.org/works/OL27779W
Zoey Fools Around,Katherine Applegate,1994,https://openlibrary.org/works/OL27832W
When a young man falls in love,Vincent J. Rosivach,1998,https://openlibrary.org/works/OL2722345W
Thương yêu theo phương pháp bụt dạy,Thích Nhất Hạnh,1996,https://openlibrary.org/works/OL263661W
Συμπόσιον / Φαῖδρος,Πλάτων,1993,https://openlibrary.org/works/OL51851W
The subversive family,"Ferdinand Mount, Ferdinand Mount",1982,https://openlibrary.org/works/OL2427719W
Either/or,Elif Batuman,2022,https://openlibrary.org/works/OL25808022W
Five Tuesdays in Winter,Lily King,2021,https://openlibrary.org/works/OL24510794W
Love Between Men,Rik Isensee,1990,https://openlibrary.org/works/OL2672641W
Feux,Marguerite Yourcenar,1973,https://openlibrary.org/works/OL106872W
The ways and power of love,"Pitirim Aleksandrovich Sorokin, Pitirim Aleksandrovich Sorokin",1954,https://openlibrary.org/works/OL1319977W
Sept Visages De L'Amour,André Maurois,1944,https://openlibrary.org/works/OL11311364W
The love-game comedy,David L. Stevenson,1946,https://openlibrary.org/works/OL1226838W
Getting from here to there,Sheldon Bach,2004,https://openlibrary.org/works/OL3464912W
Love in Ancient Greece,Robert Flacelière,1962,https://openlibrary.org/works/OL3773743W
Star signs for lovers,Liz Greene,1980,https://openlibrary.org/works/OL108975W
The Origins,Lisa Jane Smith,2010,https://openlibrary.org/works/OL15621360W
The God box,Mary Lou Quinlan,2012,https://openlibrary.org/works/OL16717908W
Aphrodite the diva,"Joan Holub, Suzanne Williams",2011,https://openlibrary.org/works/OL16322133W
The Left Hand of God,William E. Barrett,1951,https://openlibrary.org/works/OL16312710W
Novels (Jane Eyre / Professor / Shirley / Villette / Wuthering Heights),"Charlotte Brontë, Emily Brontë",1975,https://openlibrary.org/works/OL14949561W
Soppy,Philippa Rice,2014,https://openlibrary.org/works/OL17359204W
In The Afterlight,Alexandra Bracken,2014,https://openlibrary.org/works/OL17074143W
The Moon by Night (Austin Family),Madeleine L'Engle,1963,https://openlibrary.org/works/OL41456W
Sapientia angelica de divino amore,Emanuel Swedenborg,1788,https://openlibrary.org/works/OL33567W
The delights of wisdom pertaining to conjugial love,Emanuel Swedenborg,1885,https://openlibrary.org/works/OL33553W
Every woman's book,Richard Carlile,1825,https://openlibrary.org/works/OL3212059W
The Birth of Pleasure,Carol Gilligan,2002,https://openlibrary.org/works/OL3412261W
Love in the Age of the Internet,Linda Cundy,2014,https://openlibrary.org/works/OL21263373W
Philosophy of Sex and Love,Patricia Marino,2018,https://openlibrary.org/works/OL21331394W
Love and Survival,Dean Ornish,1998,https://openlibrary.org/works/OL1912933W
Finding my way home,Henri J. M. Nouwen,2001,https://openlibrary.org/works/OL1913400W
Forgiving,LaVyrle Spencer,1991,https://openlibrary.org/works/OL1860301W
Birthday,Meredith Russo,2019,https://openlibrary.org/works/OL20157236W
The effect,Lucy Prebble,2012,https://openlibrary.org/works/OL20058094W
Vampire knight,樋野 まつり,2005,https://openlibrary.org/works/OL19984919W
Reawakened,Colleen Houck,2015,https://openlibrary.org/works/OL19630898W
April's kittens,Clare Turlay Newberry,1940,https://openlibrary.org/works/OL2030291W
Dark coulee,Mary Logue,2000,https://openlibrary.org/works/OL17740W
Freckles,Gene Stratton-Porter,1904,https://openlibrary.org/works/OL17758792W
How to love,Katie Cotugno,2013,https://openlibrary.org/works/OL18181860W
Pennington's Seventeenth Summer (Handi-read),K. M. Peyton,1970,https://openlibrary.org/works/OL1850142W
Love and Loss in Life and in Treatment,Linda B. Sherby,2013,https://openlibrary.org/works/OL21028112W
Rewriting the Rules,Meg-John Barker,2018,https://openlibrary.org/works/OL20592582W
Bingo Brown's guide to romance,Betsy Cromer Byars,1992,https://openlibrary.org/works/OL470558W
Love of Seven Dolls,Paul Gallico,1954,https://openlibrary.org/works/OL4134121W
Surpassing the Love of Men,Lillian Faderman,1981,https://openlibrary.org/works/OL578925W
L' amour et l'Occident,"Rougemont, Denis de",1939,https://openlibrary.org/works/OL1452652W
The dot & the line,Norton Juster,1963,https://openlibrary.org/works/OL16071962W
Breaking bread,"Bell Hooks, Cornel West",1991,https://openlibrary.org/works/OL31114W
The Agony of Eros,Byung-Chul Han,2012,https://openlibrary.org/works/OL20228484W
Primary love and psycho-analytic technique,Michael Balint,1952,https://openlibrary.org/works/OL4282203W
طوق الحمامة في الألفة,"ʻAlī ibn Aḥmad Ibn Ḥazm, ابن حزم",1960,https://openlibrary.org/works/OL1068618W
Sex in human loving,Eric Berne,1970,https://openlibrary.org/works/OL1593563W
¿Amar o depender?,Walter Riso,1999,https://openlibrary.org/works/OL5995979W
Liebe und Hass,Irenäus Eibl-Eibesfeldt,1970,https://openlibrary.org/works/OL2957349W
The Attack,Katherine Applegate,1999,https://openlibrary.org/works/OL27775W
Pasiones,Rosa Montero,1999,https://openlibrary.org/works/OL991960W
The Separation,Katherine Applegate,1999,https://openlibrary.org/works/OL27815W
The Proposal,Katherine Applegate,1999,https://openlibrary.org/works/OL27810W
History Is All You Left Me,"Adam Silvera, Becky Albertalli",2017,https://openlibrary.org/works/OL18008837W
Achingly Alice,Phyllis Reynolds Naylor,1998,https://openlibrary.org/works/OL13471W
"The Luxe (Luxe Series, Book 1)",Anna Godbersen,2007,https://openlibrary.org/works/OL278587W
Married love,Marie Charlotte Carmichael Stopes,1918,https://openlibrary.org/works/OL9026716W
Hourglass,Claudia Gray,2010,https://openlibrary.org/works/OL9302610W
Generation Ex,Jen Abbas,2004,https://openlibrary.org/works/OL8927803W
My Heart Is a Magic House,Julie Jacobs,2007,https://openlibrary.org/works/OL9592001W
The Greatest Thing in the World And Other Addresses,Henry Drummond,1900,https://openlibrary.org/works/OL8379724W
The lover's lexicon,"Greenwood, Frederick",1893,https://openlibrary.org/works/OL7865879W
Some Irish Loving,Edna O’Brien,1979,https://openlibrary.org/works/OL69249W
A Course in Love,Joan M. Gattuso,1996,https://openlibrary.org/works/OL2700324W
Spenser for Children [Stories from the Faerie Queene],M. H. Towry,1885,https://openlibrary.org/works/OL28483417W
"I love you sun, I love you moon","Karen Pandell, Tomie dePaola",1994,https://openlibrary.org/works/OL28802W
Prescription for living,Rúḥíyyih Rabbānī.,1950,https://openlibrary.org/works/OL3044069W
Depression Fallout,Anne Sheffield,2003,https://openlibrary.org/works/OL2728414W
Light His Fire,Ellen Kreidman,1989,https://openlibrary.org/works/OL2743920W
Claire Gets Caught,Katherine Applegate,1994,https://openlibrary.org/works/OL27782W
Nina Won't Tell,Katherine Applegate,1994,https://openlibrary.org/works/OL27805W
"She loves me, she loves me not",Robert Keeshan,1963,https://openlibrary.org/works/OL2929302W
As night falls,S. K. McClafferty,2002,https://openlibrary.org/works/OL5803833W
Guitar girl,Sarra Manning,2003,https://openlibrary.org/works/OL5755639W
Having it all,Helen Gurley Brown,1982,https://openlibrary.org/works/OL504704W
Four stupid cupids,Gregory Maguire,2000,https://openlibrary.org/works/OL66204W
Primitive love and love-stories,Henry Theophilus Finck,1889,https://openlibrary.org/works/OL6610560W
The leaven of love,Izette De Forest,1954,https://openlibrary.org/works/OL5352575W
The Tadpole's Promise,"Jeanne Willis, Tony Ross",2003,https://openlibrary.org/works/OL501100W
Fénelon,François de Salignac de La Mothe-Fénelon,1923,https://openlibrary.org/works/OL781457W
The Archbishop of Cambray's dissertation on pure love,François de Salignac de La Mothe-Fénelon,1738,https://openlibrary.org/works/OL781464W
Why Love Matters,Sue Gerhardt,2003,https://openlibrary.org/works/OL25153130W
Very Large Expanse of Sea,Tahereh Mafi,2018,https://openlibrary.org/works/OL26337892W
"Cognition, Communication and Romantic Relationships","James Honeycutt, James G. Cantrill",2000,https://openlibrary.org/works/OL25079452W
Our faith,Emil Brunner,1936,https://openlibrary.org/works/OL1345189W
Glück und Kontemplation,Josef Pieper,1957,https://openlibrary.org/works/OL112225W
New Year's Eve,Caroline B. Cooney,1988,https://openlibrary.org/works/OL12396W
The celestial sexpot's handbook,"Karen Tom, Kiki T., Astrosexologist Kiki T.",2007,https://openlibrary.org/works/OL12278045W
He came down from heaven,Charles Williams,1938,https://openlibrary.org/works/OL1155790W
Λύσις / Συμπόσιον / Φαῖδρος,Πλάτων,1968,https://openlibrary.org/works/OL380108W
The awakened heart,Gerald G. May,1991,https://openlibrary.org/works/OL3902917W
How to avoid love and marriage (first r backwards),"Dan Greenburg, Suzanne O'Malley",1983,https://openlibrary.org/works/OL14865153W
Starry Night,Martin Waddell,1986,https://openlibrary.org/works/OL114187W
Bloodlust,Lisa Jane Smith,2011,https://openlibrary.org/works/OL15621470W
Rescue Your Love Life,"Henry Cloud, John Sims Townsend",2005,https://openlibrary.org/works/OL14934887W
"Philosophy of love, sex, and marriage",Raja Halwani,2010,https://openlibrary.org/works/OL15452162W
The Arrangement,Mary Balogh,2013,https://openlibrary.org/works/OL16817473W
There is no dog,"Meg Rosoff, Rosoff M",2011,https://openlibrary.org/works/OL16451674W
Moonsong,Lisa Jane Smith,2012,https://openlibrary.org/works/OL16574033W
The Sight,David Clement-Davies,2002,https://openlibrary.org/works/OL15845132W
Teenage Mermaid,Ellen Schreiber,2003,https://openlibrary.org/works/OL15833536W
Snuggle Puppy,Sandra Boynton,2003,https://openlibrary.org/works/OL1738486W
Love,Tony Milligan,2011,https://openlibrary.org/works/OL17385970W
The Summer I Found You,Jolene Perry,2014,https://openlibrary.org/works/OL16810213W
Love or greatness,Roslyn Wallach Bologh,1990,https://openlibrary.org/works/OL4208026W
Zazoo,Richard Mosher,2001,https://openlibrary.org/works/OL3256636W
Demystifying Love,Stephen B. Levine,2013,https://openlibrary.org/works/OL21245382W
Love and Therapy,"Divine Charura, Stephen Paul",2015,https://openlibrary.org/works/OL21273413W
Rainy Day Kisses,Debbie Macomber,1990,https://openlibrary.org/works/OL1911477W
The nature of love,Irving Singer,1966,https://openlibrary.org/works/OL18527197W
Your Voice in My Head,Emma Forrest,2011,https://openlibrary.org/works/OL20441027W
Lovetypes,Alexander Avila,1999,https://openlibrary.org/works/OL1985818W
Love and Limerance,Dorothy Tennov,1979,https://openlibrary.org/works/OL1990951W
"Excuse Me, Your Life Is Waiting",Lynn Grabhorn,1999,https://openlibrary.org/works/OL4279423W
Acts of faith,Iyanla Vanzant,1993,https://openlibrary.org/works/OL42011W
The body at war,John M. Dwyer,1988,https://openlibrary.org/works/OL4641645W
L' amore dell'eterna sapienza,St. Louis De Montfort,1943,https://openlibrary.org/works/OL4995403W
You know me well,Nina LaCour,2001,https://openlibrary.org/works/OL20028581W
This shattered world,"Amie Kaufman, Meagan Spooner",2014,https://openlibrary.org/works/OL19989433W
Every Hidden Thing,Kenneth Oppel,2016,https://openlibrary.org/works/OL19356018W
Someday,David Levithan,2015,https://openlibrary.org/works/OL19755111W
A Wrinkle In Time,Hope Larson,2007,https://openlibrary.org/works/OL19360587W
Anything We Love Can Be Saved,Alice Walker,1997,https://openlibrary.org/works/OL1815817W
One wish,Robyn Carr,2015,https://openlibrary.org/works/OL17804288W
Just Your Type,"Paul D. Tieger, Barbara Barron-Tieger",2000,https://openlibrary.org/works/OL17758169W
The Flowers of Evil,押見修造,2012,https://openlibrary.org/works/OL17460204W
Amoris Laetitia,"Pope Francis, Pape Francis, CERF",2015,https://openlibrary.org/works/OL17333292W
Rebels By Accident,Patricia Dunn,2012,https://openlibrary.org/works/OL17445041W
Flambards Divided,K. M. Peyton,1981,https://openlibrary.org/works/OL1850169W
Love and other emotions,Jason W. Brown,2012,https://openlibrary.org/works/OL20955059W
The Butterfly Tattoo,Philip Pullman,1998,https://openlibrary.org/works/OL20699536W
Anna K,Jenny Lee,2020,https://openlibrary.org/works/OL20651927W
On Becoming a Family,T. Berry Brazelton,1980,https://openlibrary.org/works/OL3251958W
If You Could Be Mine,Sara Farizan,2013,https://openlibrary.org/works/OL17582766W
Tell Me Again How a Crush Should Feel,Sara Farizan,2014,https://openlibrary.org/works/OL18008838W
Pax vobiscum,Henry Drummond,1890,https://openlibrary.org/works/OL1793939W
Plymouth pulpit,Henry Ward Beecher,1869,https://openlibrary.org/works/OL906852W
How does it feel to be old?,Norma Farber,1979,https://openlibrary.org/works/OL2654880W
L' amour,Jules Michelet,1858,https://openlibrary.org/works/OL1262818W
Il corbaccio,Giovanni Boccaccio,1569,https://openlibrary.org/works/OL7180613W
Belonging,Bell Hooks,2008,https://openlibrary.org/works/OL31104W
L'amour au dix-huitième siècle,"Edmond de Goncourt, Jules de Goncourt",1875,https://openlibrary.org/works/OL74836W
"Love, marriage, and divorce, and the sovereignty of the individual",Stephen Pearl Andrews,1853,https://openlibrary.org/works/OL1512987W
Hold Me Tight,Sue Johnson,2008,https://openlibrary.org/works/OL7909038W
Of Love and Lust,Theodor Reik,1957,https://openlibrary.org/works/OL5354735W
The Hork-Bajir Chronicles,Katherine Applegate,1998,https://openlibrary.org/works/OL27793W
Labyrinth of Desire,Rosemary Sullivan,2001,https://openlibrary.org/works/OL2255332W
The Solution,Katherine Applegate,1998,https://openlibrary.org/works/OL27817W
The Weakness,Katherine Applegate,2000,https://openlibrary.org/works/OL27828W
Ensnared,A. G. Howard,2015,https://openlibrary.org/works/OL19634080W
Gypsy Magic,Barbara Cartland,1983,https://openlibrary.org/works/OL134950W
Fiendish,Brenna Yovanoff,2013,https://openlibrary.org/works/OL19983617W
The Tightrope Walkers,"David Almond, Richard Halverson",2014,https://openlibrary.org/works/OL20475050W
Mary Anne vs. Logan. (Baby-Sitters Club no.041),Ann M. Martin,1987,https://openlibrary.org/works/OL818073W
Mrs. Mike,"Benedict Freedman, Nancy Freedman",1947,https://openlibrary.org/works/OL6213550W
The rainmaker,N. Richard Nash,1954,https://openlibrary.org/works/OL3240510W
The Test,Katherine Applegate,2000,https://openlibrary.org/works/OL27822W
P. S. I Love You,"H. Jackson Brown, Jr.",1990,https://openlibrary.org/works/OL8855816W
La vita nuova (The new life),"Dante Alighieri, Stanley Appelbaum",1900,https://openlibrary.org/works/OL93122W
Caillou,Christine L'Heureux,2000,https://openlibrary.org/works/OL9050309W
Philosophy and Love,Linnell Secomb,2007,https://openlibrary.org/works/OL9357449W
The Mating Game,Pamela C. Regan,2002,https://openlibrary.org/works/OL7961712W
Revolutions of the Heart,Wendy Langford,1999,https://openlibrary.org/works/OL8022896W
Kierkegaard and the Treachery of Love,Amy Laura Hall,2002,https://openlibrary.org/works/OL8327111W
Something to Remember Me by,Susan V. Bosak,1997,https://openlibrary.org/works/OL8139819W
Gay astrology,Michael Yawney,2001,https://openlibrary.org/works/OL8136162W
1001 Ways to Be Romantic,Gregory J. P. Godek,1991,https://openlibrary.org/works/OL8423603W
Beauty and the Beast,"Louie Stowell, Victor Tavares",2006,https://openlibrary.org/works/OL8377906W
Liebe und Ethik,Ellen Key,1909,https://openlibrary.org/works/OL2859914W
Getting naked again,Judith Sills,2009,https://openlibrary.org/works/OL2968072W
Front Porch Tales,Philip Gulley,1997,https://openlibrary.org/works/OL2738461W
Jake finds out,Katherine Applegate,1994,https://openlibrary.org/works/OL27795W
Before I Let Go,Kennedy Ryan,2022,https://openlibrary.org/works/OL27850288W
Lucas Gets Hurt,Katherine Applegate,1994,https://openlibrary.org/works/OL27800W
Understand the Unknown,Katherine Applegate,2000,https://openlibrary.org/works/OL27824W
Vindication of Love,Cristina Nehring,2009,https://openlibrary.org/works/OL26529133W
"How They Met, and Other Stories",David Levithan,2008,https://openlibrary.org/works/OL5736981W
Universalism vindicated,John Murray,1797,https://openlibrary.org/works/OL5948747W
So Many Bunnies,Rick Walton,1998,https://openlibrary.org/works/OL57688W
Love Is..,Kim Casali,1971,https://openlibrary.org/works/OL5007316W
Enhet,Ninni Holmqvist,2006,https://openlibrary.org/works/OL6059422W
Five alien elves,Gregory Maguire,1673,https://openlibrary.org/works/OL66202W
Amor Dei,John Burnaby,1938,https://openlibrary.org/works/OL6723888W
His own where,"June Jordan, Sapphire",1971,https://openlibrary.org/works/OL696171W
Josephine and the soldier,Beverly Jenkins,2003,https://openlibrary.org/works/OL553678W
The ability to love,Allan Fromme,1965,https://openlibrary.org/works/OL5363127W
Ceremony of the Innocent,Taylor Caldwell,1976,https://openlibrary.org/works/OL5362107W
Andreae Capellani regii Francorum De amore libri tres,Andreas Capellanus,1892,https://openlibrary.org/works/OL4925623W
"Mama, do you love me?",Barbara M. Joosse,1991,https://openlibrary.org/works/OL547320W
Married love,Marie Charlotte Carmichael Stopes,1918,https://openlibrary.org/works/OL53804W
Social Nature of Persons,A. P. Tom Ormay,2012,https://openlibrary.org/works/OL25161547W
Lost & Found,Kathryn Schulz,2022,https://openlibrary.org/works/OL24412347W
"Cupid's yokes, or, The binding forces of conjugal life",Ezra H. Heywood,1876,https://openlibrary.org/works/OL2513084W
My Man Blue,"Nikki Grimes, Jerome LaGarrigue",1999,https://openlibrary.org/works/OL103725W
An anthology of the love of God,Evelyn Underhill,1953,https://openlibrary.org/works/OL1101620W
De amore libri tres,Andreas Capellanus,1930,https://openlibrary.org/works/OL10362639W
Webster J. Duck,Martin Waddell,2001,https://openlibrary.org/works/OL114203W
Sukey and the Mermaid,Robert D. San Souci,1992,https://openlibrary.org/works/OL116638W
A bruxa de Monte Córdova,Camilo Castelo Branco,1867,https://openlibrary.org/works/OL1246422W
Über das glück und die liebe,Emil Ludwig,1940,https://openlibrary.org/works/OL1159292W
Meet M & M,"Pat Ross, Marilyn Hafner",1980,https://openlibrary.org/works/OL114955W
Child of the Dawn,"Clare Coleman, M. Coleman Easton",1994,https://openlibrary.org/works/OL3579019W
Remedios Para El Desamor,Enrique Rojas,1990,https://openlibrary.org/works/OL3765633W
"To Love, Honour & Betray",Penny Jordan,1998,https://openlibrary.org/works/OL3759238W
The Pig in the Pond,Martin Waddell,1992,https://openlibrary.org/works/OL114205W
Well Done,"Martin Waddell, Barbara Firth",1999,https://openlibrary.org/works/OL114190W
The divine love and wisdom,Emanuel Swedenborg,1900,https://openlibrary.org/works/OL15337792W
Plato's Symposium,Stanley Rosen,1968,https://openlibrary.org/works/OL15165W
The Secret Language of Relationships,Gary Goldschneider,1997,https://openlibrary.org/works/OL14985961W
Love songs of the little bear,Margaret Wise Brown,2001,https://openlibrary.org/works/OL15047361W
Guess How Much I Love You in the Summer,"Sam McBratney, Anita Jeram",2007,https://openlibrary.org/works/OL15283783W
Love,Simon May,2011,https://openlibrary.org/works/OL16212244W
Love and its place in nature,Jonathan Lear,1990,https://openlibrary.org/works/OL15843896W
Through to you,Emily Hainsworth,2012,https://openlibrary.org/works/OL16585148W
Dying to know you,Aidan Chambers,2012,https://openlibrary.org/works/OL16546768W
Love : bondage or liberation?,Deirdre Johnson,2010,https://openlibrary.org/works/OL15989042W
The Dialogues of Plato / The Seventh Letter,Πλάτων,1952,https://openlibrary.org/works/OL15100036W
Bartlett's words for the wedding,"Brett Fletcher Lauer, Aimee Kelley",2007,https://openlibrary.org/works/OL17026744W
Love In The Time Of Global Warming,Francesca Lia Block,2013,https://openlibrary.org/works/OL17316793W
Kierkegaard on faith and love,Sharon Krishek,2009,https://openlibrary.org/works/OL16949671W
